job_title,company,url,experience,salary,location,skills,Role,,job_id
Senior Software Developer - CIS - JS,Cyber Infrastructure,https://www.naukri.com/job-listings-senior-software-developer-cis-js-cyber-infrastructure-p-limited-indore-4-to-9-years-150721500618,4-9 Yrs,Not disclosed,['Indore'],"['IT Skills', 'HTML', 'CSS', 'Javascript', 'Angular Js', 'Communication Skills', 'Front End', 'Oops']",software-developer,,29
Senior Software Developer,Cyber Infrastructure,https://www.naukri.com/job-listings-senior-software-developer-cyber-infrastructure-p-limited-indore-4-to-5-years-110618501320,4-5 Yrs,Not disclosed,['Indore'],"['server', 'code', 'technical', 'analytical', 'software', 'methods', 'HTML', 'cloud']",software-developer,,30
Senior Software Developer,Datavail,https://www.naukri.com/job-listings-senior-software-developer-datavail-infotech-pvt-ltd-mumbai-5-to-10-years-270822500987,5-10 Yrs,Not disclosed,['Mumbai'],"['Web API', 'Visual Studio', 'communication', 'AWS QuickSight', 'Continuous Integration / Continuous Deployment', 'Object - Oriented Programming', 'software development', 'React\\Angular']",software-developer,,31
Senior Software Developer,Datavail,https://www.naukri.com/job-listings-senior-software-developer-accelatis-mumbai-5-to-7-years-090922502082,5-7 Yrs,Not disclosed,['Mumbai'],"['IT Skills', 'Software Development', 'Payroll', 'Enterprise applications', 'Organizational development', 'MySQL', 'Database administration', 'Agile']",software-developer,,32
Software Developer,CodeFire Technologies,https://www.naukri.com/job-listings-software-developer-codefire-technologies-pvt-ltd-noida-2-to-5-years-040717501507,2-5 Yrs,Not disclosed,['Noida'],"['IT Skills', 'PHP', 'Software Development', 'Testing', 'HTML', 'CSS', 'Javascript', 'iPhone']",software-developer,,33
Software Developer,Synova Innovative Technologies,https://www.naukri.com/job-listings-software-developer-synova-innovative-technologies-pvt-ltd-not-specified-2-to-4-years-300617506886,2-4 Yrs,Not disclosed,['Not specified'],"['assembly language', 'website', 'C', 'HTML', 'mca', 'ajax', 'javascript', 'jquery']",software-developer,,34
Embedded Software Developer,Bonzer Business Solutions,https://www.naukri.com/job-listings-embedded-software-developer-bonzer-business-solutions-pvt-ltd-gurgaon-gurugram-5-to-8-years-261222503448,5-8 Yrs,Not disclosed,['Gurgaon/Gurugram'],"['Computer science', 'Multithreading', 'Team management', 'Version control', 'Networking', 'UML', 'Analytical', 'System programming']",software-developer,,35
Software Developer,VS Geospatial Technologies Pvt Ltd.,https://www.naukri.com/job-listings-software-developer-vs-geospatial-technologies-pvt-ltd-delhi-2-to-7-years-250119501739,2-7 Yrs,Not disclosed,['Delhi'],"['GIS', 'Software testing', 'Usage', 'C', 'Research', 'VB', 'SQL']",software-developer,,36
Trainee Software Developer,Systenics,https://www.naukri.com/job-listings-trainee-software-developer-systenics-solutions-mumbai-1-to-6-years-210518501521,1-6 Yrs,Not disclosed,['Mumbai'],"['Selection process', 'c#', 'C++', 'development', 'C', 'software', 'HTML', 'Windows']",software-developer,,37
Software Developer,Hexagon Capability Center India Pvt.Ltd.,https://www.naukri.com/job-listings-software-developer-hexagon-capability-center-india-pvt-ltd-hyderabad-secunderabad-2-to-4-years-160123500374,2-4 Yrs,Not disclosed,['Hyderabad/Secunderabad'],"['Material management', 'RDBMS', 'Coding', 'Javascript', 'Agile', 'PLSQL', 'Scrum', 'Oracle']",software-developer,,38
Software Developer - CIS - ANJS,Cyber Infrastructure,https://www.naukri.com/job-listings-software-developer-cis-anjs-cyber-infrastructure-p-limited-indore-1-to-6-years-150721500619,1-6 Yrs,Not disclosed,['Indore'],"['IT Skills', 'Python', 'Testing', 'Node.js', 'HTML', 'CSS', 'Javascript', 'Angular Js']",software-developer,,39
Software Developer in Test,Luxoft,https://www.naukri.com/job-listings-software-developer-in-test-luxoft-chennai-3-to-6-years-120123501168,3-6 Yrs,Not disclosed,['Chennai'],"['automation framework', 'Data migration', 'White box testing', 'Production support', 'Performance testing', 'Windows', 'Selenium', 'Test cases']",software-developer,,40
Software Developer,MM STAFFING CAREER CONSULTANTS PRIVATE LIMITED,https://www.naukri.com/job-listings-software-developer-mm-staffing-career-consultants-private-limited-ahmedabad-5-to-8-years-081222503490,5-8 Yrs,Not disclosed,['Ahmedabad'],"['Linux', 'data modelling', 'Azure', 'RESTful services', 'SIP', 'Mongo - db', 'Kubernetes', 'Ansible']",software-developer,,41
